Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0033467,2019-04-28,2019-04-28,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",461145,1941-05-01,Orson Welles,,
2,tt0038650,2023-06-11,2023-06-11,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy, Romance",493351,1946-12-20,Frank Capra,,
3,tt0107048,2023-06-11,2023-06-11,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Drama, Fantasy, Romance",673741,1993-02-02,Harold Ramis,,
4,tt1392214,2023-06-11,2023-06-11,,Prisoners,https://www.imdb.com/title/tt1392214/,movie,8.1,153,2013,"Crime, Drama, Mystery, Thriller",790147,2013-08-30,Denis Villeneuve,,
5,tt0119488,2023-06-11,2023-06-11,,L.A. Confidential,https://www.imdb.com/title/tt0119488/,movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",610157,1997-05-14,Curtis Hanson,,
6,tt0780504,2023-06-11,2023-06-11,,Drive,https://www.imdb.com/title/tt0780504/,movie,7.8,100,2011,"Action, Drama",694001,2011-05-20,Nicolas Winding Refn,,
7,tt0117951,2023-06-11,2023-06-11,,Trainspotting,https://www.imdb.com/title/tt0117951/,movie,8.1,93,1996,Drama,717672,1996-02-23,Danny Boyle,5,2024-01-11
8,tt0246578,2023-06-11,2023-06-11,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.0,113,2001,"Drama, Mystery, Sci-Fi, Thriller",840047,2001-01-19,Richard Kelly,,
9,tt0440963,2023-06-11,2023-06-11,,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/,movie,8.0,115,2007,"Action, Mystery, Thriller",653839,2007-07-25,Paul Greengrass,,
10,tt1125849,2023-06-11,2023-06-11,,The Wrestler,https://www.imdb.com/title/tt1125849/,movie,7.9,109,2008,"Drama, Sport",317601,2008-09-05,Darren Aronofsky,,
11,tt0078788,2023-06-11,2023-06-11,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",701278,1979-05-19,Francis Ford Coppola,,
12,tt0166924,2023-06-11,2023-06-11,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",378632,2001-05-16,David Lynch,,
13,tt0062622,2023-06-11,2023-06-11,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",709167,1968-04-02,Stanley Kubrick,,
14,tt0112471,2023-06-11,2023-06-11,,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",333682,1995-01-19,Richard Linklater,,
15,tt0112641,2023-06-11,2023-06-11,,Casino,https://www.imdb.com/title/tt0112641/,movie,8.2,178,1995,"Crime, Drama",555423,1995-11-14,Martin Scorsese,,
16,tt0113277,2023-06-11,2023-06-11,,Heat,https://www.imdb.com/title/tt0113277/,movie,8.3,170,1995,"Action, Crime, Drama",707233,1995-12-06,Michael Mann,,
17,tt1798709,2023-06-11,2023-06-11,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",659008,2013-10-12,Spike Jonze,,
18,tt0118694,2023-06-11,2023-06-11,,Fa yeung nin wah,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",163645,2000-05-20,Kar-Wai Wong,,
19,tt0077416,2023-06-11,2023-06-11,,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",357967,1978-12-08,Michael Cimino,,
20,tt2278388,2023-06-11,2023-06-11,,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,movie,8.1,99,2014,"Adventure, Comedy, Crime",873250,2014-02-06,Wes Anderson,,
21,tt8579674,2023-06-11,2023-06-11,,1917,https://www.imdb.com/title/tt8579674/,movie,8.2,119,2019,"Action, Drama, War",658968,2019-12-04,Sam Mendes,,
22,tt0206634,2023-06-11,2023-06-11,,Children of Men,https://www.imdb.com/title/tt0206634/,movie,7.9,109,2006,"Action, Drama, Sci-Fi, Thriller",523830,2006-09-03,Alfonso Cuarón,,
23,tt1605783,2023-06-11,2023-06-11,,Midnight in Paris,https://www.imdb.com/title/tt1605783/,movie,7.6,94,2011,"Comedy, Fantasy, Romance",445870,2011-05-11,Woody Allen,,
24,tt2119532,2023-06-11,2023-06-11,,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,movie,8.1,139,2016,"Biography, Drama, History, War",581082,2016-09-04,Mel Gibson,,
25,tt0139654,2023-06-11,2023-06-11,,Training Day,https://www.imdb.com/title/tt0139654/,movie,7.7,122,2001,"Crime, Drama, Thriller",465697,2001-09-02,Antoine Fuqua,,
26,tt0162222,2023-06-11,2023-06-11,,Cast Away,https://www.imdb.com/title/tt0162222/,movie,7.8,143,2000,"Adventure, Drama, Romance",629237,2000-12-07,Robert Zemeckis,,
27,tt0105323,2023-06-11,2023-06-11,,Scent of a Woman,https://www.imdb.com/title/tt0105323/,movie,8.0,156,1992,Drama,323342,1992-12-23,Martin Brest,,
28,tt0325980,2023-06-11,2023-06-11,,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,movie,8.1,143,2003,"Action, Adventure, Fantasy",1192520,2003-06-28,Gore Verbinski,,
